Episode,Reward,Length,SmoothedLengthEMA
1,-65.7987,79,79.0000
2,-267.3631,101,80.1000
3,-143.9428,107,81.4450
4,-72.9539,62,80.4727
5,-353.8544,100,81.4491
6,-118.2787,85,81.6267
7,-260.0082,101,82.5953
8,-119.0801,69,81.9156
9,-228.7214,102,82.9198
10,-125.0779,63,81.9238
11,-288.7989,87,82.1776
12,-54.2053,86,82.3687
13,-233.1931,67,81.6003
14,-166.7810,62,80.6203
15,-254.0984,112,82.1893
16,-116.7422,83,82.2298
17,-261.6371,88,82.5183
18,-319.9883,112,83.9924
19,-233.2087,113,85.4428
20,-88.5744,104,86.3706
21,-311.2647,92,86.6521
22,-87.0839,67,85.6695
23,-230.8002,99,86.3360
24,-132.3913,125,88.2692
25,-458.4309,123,90.0058
26,-367.9664,91,90.0555
27,-330.0229,87,89.9027
28,-104.1563,68,88.8076
29,-463.0075,118,90.2672
30,-226.1177,94,90.4538
31,0.1414,145,93.1811
32,-271.1597,137,95.3721
33,-114.6406,74,94.3035
34,-7.9867,105,94.8383
35,-28.6549,105,95.3464
36,-242.4088,98,95.4791
37,-103.1592,65,93.9551
38,-99.8899,71,92.8074
39,-163.1152,120,94.1670
40,-102.1315,74,93.1586
41,-103.7861,89,92.9507
42,-75.7132,84,92.5032
43,-338.5708,96,92.6780
44,-86.2108,97,92.8941
45,-102.5235,85,92.4994
46,-109.5455,69,91.3244
47,-165.2124,80,90.7582
48,-187.3883,132,92.8203
49,-403.0039,90,92.6793
50,-141.6780,97,92.8953
51,-119.3744,106,93.5506
52,-63.9984,108,94.2730
53,-287.8478,113,95.2094
54,-51.9943,104,95.6489
55,-151.3220,147,98.2165
56,-104.6195,96,98.1056
57,-98.6735,89,97.6504
58,-92.9443,118,98.6678
59,-94.4461,65,96.9844
60,-125.1945,89,96.5852
61,-123.5505,149,99.2060
62,-364.0253,118,100.1457
63,-70.2794,83,99.2884
64,-158.4056,81,98.3740
65,-128.3600,81,97.5053
66,-61.9497,75,96.3800
67,-46.0113,82,95.6610
68,-223.8802,104,96.0780
69,-196.9683,103,96.4241
70,-200.9581,107,96.9529
71,-79.5178,82,96.2052
72,-45.3435,83,95.5449
73,-14.9374,81,94.8177
74,-231.0923,140,97.0768
75,-204.4491,102,97.3230
76,-179.0171,97,97.3068
77,-119.6420,125,98.6915
78,-161.5324,65,97.0069
79,-111.0131,97,97.0066
80,-87.7208,73,95.8062
81,-61.5553,84,95.2159
82,-399.6927,84,94.6551
