UpdateCycle,EpisodeAtUpdate,TotalLoss,ActorLoss,CriticLoss,Entropy
1,23,0.4284,-0.0308,0.9459,1.3754
2,44,0.4281,0.0149,0.8538,1.3715
3,67,0.5807,0.0952,0.9986,1.3814
4,90,0.4160,-0.0769,1.0132,1.3772
5,110,0.4352,-0.0173,0.9323,1.3635
6,131,0.4387,-0.0035,0.9115,1.3532
7,149,0.3994,-0.0500,0.9252,1.3225
8,168,0.5144,0.0522,0.9509,1.3169
9,187,0.4064,0.0061,0.8267,1.3026
10,205,0.3758,-0.0243,0.8258,1.2815
11,221,0.3498,0.0592,0.6069,1.2849
12,236,0.1968,-0.0298,0.4779,1.2372
13,248,0.2933,0.0515,0.5074,1.1842
14,262,0.1246,-0.0316,0.3352,1.1366
15,269,0.3513,-0.5981,1.9215,1.1321
16,274,0.6214,-0.0114,1.2892,1.1815
17,280,0.3964,0.0112,0.7927,1.1104
18,285,0.3015,-0.0347,0.6954,1.1498
19,291,0.2781,0.0388,0.5003,1.0792
20,296,0.3016,0.0239,0.5781,1.1355
21,299,0.0074,-0.1714,0.3803,1.1406
22,302,0.4158,0.0071,0.8405,1.1652
23,306,0.2686,-0.0054,0.5718,1.1864
24,308,0.1988,-0.1308,0.6844,1.2548
25,315,0.7681,0.3621,0.8355,1.1692
26,322,0.1683,-0.0090,0.3773,1.1389
27,326,0.1511,-0.0993,0.5250,1.2083
28,328,0.1698,-0.2392,0.8399,1.0951
29,331,0.4841,0.1287,0.7320,1.0559
30,336,0.7699,0.2696,1.0225,1.0953
31,338,0.1781,-0.1299,0.6387,1.1287
32,342,0.4289,0.0220,0.8348,1.0528
33,346,0.4975,0.1431,0.7294,1.0284
34,348,0.3302,-0.0848,0.8510,1.0562
35,350,0.1520,-0.1274,0.5796,1.0399
36,353,0.4914,0.0681,0.8650,0.9279
37,356,0.6531,0.2286,0.8690,0.9987
38,359,0.1234,-0.2339,0.7344,0.9911
39,361,0.3281,-0.0362,0.7506,1.1010
40,364,0.3650,0.0018,0.7478,1.0619
41,366,0.2243,-0.1956,0.8600,1.0106
42,368,0.2372,-0.0025,0.4972,0.8865
43,370,0.2027,0.0440,0.3388,1.0802
44,374,0.8876,0.3066,1.1828,1.0454
45,376,0.1355,-0.0933,0.4801,1.1328
46,380,0.5947,0.1362,0.9392,1.1067
47,382,0.3795,0.0119,0.7569,1.0899
48,386,0.4315,0.1016,0.6815,1.0812
49,388,-0.0498,-0.2493,0.4217,1.1355
50,390,0.0987,-0.0753,0.3706,1.1325
51,392,0.0490,-0.0601,0.2398,1.0859
52,394,0.2113,0.0271,0.3906,1.1164
53,397,0.8002,0.3248,0.9726,1.0946
54,400,0.2133,-0.0311,0.5108,1.0993
55,402,0.2135,-0.0302,0.5098,1.1260
56,404,0.0428,-0.1256,0.3602,1.1630
57,406,0.0719,-0.0799,0.3265,1.1481
58,410,1.1289,0.5015,1.2772,1.1150
59,412,0.1186,-0.0245,0.3094,1.1558
60,414,0.2502,-0.0949,0.7106,1.0249
61,416,0.3124,0.1297,0.3850,0.9803
62,419,0.4335,0.0459,0.7964,1.0554
63,423,0.7355,0.3611,0.7711,1.1150
64,426,0.3178,0.0174,0.6228,1.1008
65,428,0.0824,-0.2148,0.6167,1.1175
66,430,0.0666,-0.0863,0.3266,1.0366
67,436,1.0043,0.5289,0.9720,1.0636
68,439,0.3602,0.0214,0.6989,1.0692
69,442,0.4063,0.1159,0.6023,1.0807
70,444,0.2059,-0.0847,0.6033,1.0986
71,446,0.2083,-0.1193,0.6752,0.9974
72,448,0.2199,0.0235,0.4151,1.1133
73,451,0.4015,0.0901,0.6442,1.0689
74,453,-0.0602,-0.1988,0.2990,1.0940
75,456,0.3351,0.0268,0.6381,1.0771
76,458,0.2750,-0.0283,0.6281,1.0771
77,462,0.4330,0.1213,0.6458,1.1200
78,464,0.2219,-0.0688,0.6024,1.0550
79,467,0.3619,-0.0378,0.8210,1.0801
80,470,0.4411,0.1465,0.6113,1.0975
81,472,0.2571,-0.0947,0.7265,1.1434
82,474,0.0393,-0.1414,0.3835,1.1090
83,476,-0.0092,-0.0987,0.2022,1.1575
84,479,0.9487,0.3770,1.1658,1.1247
85,481,0.1469,0.0472,0.2217,1.1197
86,484,0.2708,-0.0263,0.6167,1.1262
87,487,0.5862,0.2485,0.6963,1.0399
88,489,-0.0647,-0.2311,0.3560,1.1564
89,491,0.0209,-0.0913,0.2454,1.0557
90,493,0.1195,0.0295,0.2026,1.1294
91,496,0.4433,0.1644,0.5797,1.0905
92,498,0.0128,-0.0948,0.2386,1.1740
93,500,-0.0268,-0.0991,0.1660,1.0760
94,502,0.2718,0.0571,0.4524,1.1468
95,504,0.0602,0.0099,0.1224,1.0851
96,506,-0.0378,-0.0560,0.0589,1.1228
97,508,0.0172,-0.0141,0.0853,1.1347
98,510,-0.0010,-0.0397,0.1003,1.1444
99,515,1.7319,0.7004,2.0831,1.0056
100,517,0.0202,-0.0511,0.1651,1.1192
101,519,0.0233,-0.0465,0.1615,1.0934
102,521,0.5040,0.0253,0.9780,1.0281
103,524,0.5764,0.2387,0.6924,0.8568
104,527,0.3535,0.0576,0.6105,0.9358
105,530,0.1799,-0.0365,0.4516,0.9444
106,532,-0.0485,-0.1358,0.1924,0.8827
107,534,-0.0572,-0.1168,0.1389,0.9897
108,536,0.0515,0.0346,0.0539,1.0058
109,538,0.1135,0.0759,0.0960,1.0362
110,540,-0.0618,-0.0792,0.0557,1.0377
111,542,-0.0155,-0.0784,0.1466,1.0493
112,545,0.4456,0.1354,0.6411,1.0458
113,547,0.0636,0.0016,0.1452,1.0503
114,550,0.4362,0.1433,0.6065,1.0353
115,552,-0.0530,-0.1074,0.1294,1.0310
116,554,0.0001,-0.0126,0.0464,1.0531
117,556,-0.0444,-0.1184,0.1690,1.0466
118,559,0.8489,0.3223,1.0737,1.0227
119,561,0.0010,-0.0545,0.1325,1.0724
120,563,-0.0004,-0.0666,0.1500,0.8778
121,566,0.7088,0.1752,1.0889,1.0752
122,568,0.0687,-0.0244,0.2074,1.0614
123,570,-0.0381,-0.1028,0.1515,1.1007
124,572,0.1274,0.0430,0.1893,1.0255
125,574,-0.0463,-0.0940,0.1179,1.1273
126,576,0.0578,0.0344,0.0686,1.0963
127,578,-0.0159,-0.0207,0.0320,1.1176
128,581,0.5307,0.1703,0.7421,1.0611
129,585,0.5825,0.2481,0.6902,1.0664
130,587,-0.0296,-0.1475,0.2583,1.1204
131,589,-0.0737,-0.1546,0.1842,1.1212
132,591,0.0581,0.0479,0.0420,1.0728
133,593,-0.0523,-0.0623,0.0421,1.1042
134,595,0.0563,0.0279,0.0773,1.0224
135,597,0.0667,-0.0162,0.1845,0.9364
136,600,0.3792,0.1012,0.5753,0.9665
137,602,-0.0372,-0.0922,0.1312,1.0577
138,605,0.3685,0.1020,0.5544,1.0767
139,611,0.6806,0.3422,0.6973,1.0252
140,613,-0.0277,-0.2135,0.3942,1.1222
141,615,0.0094,-0.1559,0.3529,1.1180
