Episode,Reward,Length,SmoothedLengthEMA
1,-65.7987,79,79.0000
2,-267.3631,101,80.1000
3,-143.9428,107,81.4450
4,-72.9539,62,80.4727
5,-353.8544,100,81.4491
6,-118.2787,85,81.6267
7,-260.0082,101,82.5953
8,-119.0801,69,81.9156
9,-228.7214,102,82.9198
10,-125.0779,63,81.9238
11,-288.7989,87,82.1776
12,-54.2053,86,82.3687
13,-233.1931,67,81.6003
14,-166.7810,62,80.6203
15,-254.0984,112,82.1893
16,-116.7422,83,82.2298
17,-261.6371,88,82.5183
18,-319.9883,112,83.9924
19,-233.2087,113,85.4428
20,-88.5744,104,86.3706
21,-311.2647,92,86.6521
22,-87.0839,67,85.6695
23,-222.8223,99,86.3360
24,-165.2125,124,88.2192
25,-398.8935,111,89.3583
26,-473.4878,84,89.0903
27,-402.6026,89,89.0858
28,-183.4064,63,87.7815
29,-118.9139,110,88.8925
30,-161.9973,82,88.5478
31,-374.9100,104,89.3204
32,-472.4119,135,91.6044
33,-110.9264,73,90.6742
34,6.5292,96,90.9405
35,-132.7530,86,90.6935
36,-401.5834,112,91.7588
37,-106.7787,61,90.2209
38,-77.6280,79,89.6598
39,-324.4168,126,91.4768
40,-103.2723,56,89.7030
41,-273.6275,92,89.8178
42,-57.0144,86,89.6269
43,-292.7036,127,91.4956
44,-108.1749,79,90.8708
45,-84.7745,74,90.0273
46,-1.5015,87,89.8759
47,-186.0200,74,89.0821
48,-145.1630,90,89.1280
49,-149.2373,103,89.8216
50,-343.7849,107,90.6805
51,-132.4289,105,91.3965
52,-125.7819,64,90.0267
53,-147.2130,123,91.6753
54,-85.0043,79,91.0416
55,-124.2613,110,91.9895
56,-122.5334,83,91.5400
57,-116.9043,90,91.4630
58,-85.5628,93,91.5399
59,-57.3712,70,90.4629
60,-158.2771,85,90.1897
61,-160.2830,135,92.4302
62,-175.7685,116,93.6087
63,-91.8556,82,93.0283
64,-91.1431,70,91.8769
65,-81.8127,68,90.6830
66,-100.0979,62,89.2489
67,-45.5687,87,89.1364
68,-272.6106,82,88.7796
69,-227.4466,82,88.4406
70,-349.5950,93,88.6686
71,-87.7558,77,88.0852
72,-91.8528,70,87.1809
73,-73.0683,76,86.6219
74,-235.5499,97,87.1408
75,-203.2120,102,87.8837
76,-98.5778,89,87.9396
77,-159.5886,99,88.4926
78,-76.9913,78,87.9679
79,-250.4805,80,87.5695
80,-50.3294,70,86.6911
81,-161.4707,69,85.8065
82,-156.6966,75,85.2662
