Episode,Reward,Length,SmoothedLengthEMA
213,-0.6537,122,153.1220
214,-27.4659,194,155.1659
215,-133.4909,163,155.5576
216,-2.7058,97,152.6297
217,-26.3044,176,153.7982
218,-20.1643,1000,196.1083
219,-169.7890,240,198.3029
220,-351.3517,177,197.2378
221,-198.8437,285,201.6259
222,-219.9598,204,201.7446
223,-10.8282,136,198.4574
224,-14.3484,146,195.8345
225,-129.2250,141,193.0928
226,-132.9329,127,189.7881
227,-157.9852,151,187.8487
228,-39.4645,131,185.0063
229,-71.0259,133,182.4060
230,-238.5613,165,181.5357
231,-205.8754,179,181.4089
232,-81.9498,155,180.0884
233,-188.5374,166,179.3840
234,-191.1671,141,177.4648
235,-226.6480,209,179.0416
236,-176.7803,142,177.1895
237,-98.0061,117,174.1800
238,46.9008,146,172.7710
239,-239.5991,271,177.6825
240,36.0490,178,177.6983
241,-216.3291,150,176.3134
242,-184.0565,210,177.9978
243,-156.2856,201,179.1479
244,-10.5223,163,178.3405
245,-151.6907,219,180.3735
246,-105.6794,198,181.2548
247,-103.0874,163,180.3420
248,-165.7121,169,179.7749
249,-169.9986,185,180.0362
250,-9.1452,224,182.2344
251,-72.4979,165,181.3727
252,-141.0354,110,177.8040
253,-165.4484,263,182.0638
254,6.5786,143,180.1106
255,-254.1702,193,180.7551
256,2.6482,173,180.3674
257,-51.1860,201,181.3990
258,-44.4568,228,183.7290
259,-157.3279,194,184.2426
260,50.4363,1000,225.0305
261,-3.2838,146,221.0789
262,-74.4040,198,219.9250
263,29.3519,1000,258.9287
264,-273.3202,288,260.3823
265,0.1181,160,255.3632
266,-26.0155,241,254.6450
267,47.4866,1000,291.9128
268,-188.6417,243,289.4671
269,-29.8521,158,282.8938
270,43.3058,1000,318.7491
271,39.3404,1000,352.8116
272,-218.3762,247,347.5211
273,-86.1062,168,338.5450
274,-117.7967,176,330.4177
275,16.5265,172,322.4969
276,22.6060,189,315.8220
277,-3.1935,118,305.9309
278,-3.5106,147,297.9844
279,-170.0648,133,289.7352
280,-81.3150,190,284.7484
281,-27.8795,204,280.7110
282,-5.3395,225,277.9254
283,30.8721,195,273.7792
284,-33.1142,295,274.8402
285,111.1823,1000,311.0982
286,4.3167,239,307.4933
287,-158.9842,278,306.0186
288,-266.4605,631,322.2677
289,-160.9973,394,325.8543
290,-74.3946,374,328.2616
291,-50.6915,275,325.5985
292,-129.7596,316,325.1186
293,-147.7556,417,329.7127
294,-39.4159,163,321.3770
295,-53.5219,283,319.4582
296,-133.8344,210,313.9853
297,11.1117,224,309.4860
298,25.7951,211,304.5617
299,-121.2309,315,305.0836
300,-133.7080,259,302.7794
301,43.9222,1000,337.6405
302,-131.7120,228,332.1584
303,-50.2190,320,331.5505
304,35.1104,167,323.3230
305,-13.7634,223,318.3068
306,83.2922,1000,352.3915
307,-109.1809,195,344.5219
308,32.8996,237,339.1458
309,21.1454,331,338.7385
310,-2.3796,323,337.9516
311,11.7681,226,332.3540
312,-60.7924,307,331.0863
313,19.4243,328,330.9320
314,-206.2577,288,328.7854
