Episode,Reward,Length,SmoothedLengthEMA
1,-65.7987,79,79.0000
2,-267.3631,101,80.1000
3,-143.9428,107,81.4450
4,-72.9539,62,80.4727
5,-353.8544,100,81.4491
6,-118.2787,85,81.6267
7,-260.0082,101,82.5953
8,-119.0801,69,81.9156
9,-228.7214,102,82.9198
10,-125.0779,63,81.9238
11,-288.7989,87,82.1776
12,-54.2053,86,82.3687
13,-233.1931,67,81.6003
14,-166.7810,62,80.6203
15,-254.0984,112,82.1893
16,-116.7422,83,82.2298
17,-261.6371,88,82.5183
18,-319.9883,112,83.9924
19,-233.2087,113,85.4428
20,-88.5744,104,86.3706
21,-311.2647,92,86.6521
22,-87.0839,67,85.6695
23,-270.6654,99,86.3360
24,-145.8104,126,88.3192
25,-426.7772,108,89.3033
26,-463.6200,86,89.1381
27,-394.4070,88,89.0812
28,-163.5985,64,87.8271
29,-167.9723,108,88.8358
30,-186.7984,85,88.6440
31,-453.8757,109,89.6618
32,-438.8865,135,91.9287
33,-120.7664,73,90.9823
34,-118.7535,79,90.3831
35,-137.3681,85,90.1140
36,-292.2359,111,91.1583
37,-94.9510,63,89.7504
38,-107.8242,77,89.1129
39,-444.1361,133,91.3072
40,-72.6526,57,89.5919
41,-279.8757,93,89.7623
42,-54.5303,82,89.3741
43,-256.6441,124,91.1054
44,-83.1629,83,90.7002
45,-89.2201,77,90.0152
46,-88.6269,75,89.2644
47,-179.4149,80,88.8012
48,-115.0921,91,88.9111
49,-271.6918,108,89.8656
50,-336.8724,91,89.9223
51,-193.7212,121,91.4762
52,-79.7798,71,90.4524
53,-241.2042,127,92.2797
54,-148.4857,86,91.9658
55,-364.5228,133,94.0175
56,-115.6842,96,94.1166
57,-67.4401,90,93.9108
58,-92.2021,104,94.4152
59,-83.3193,61,92.7445
60,-119.3706,91,92.6572
61,-68.3133,125,94.2744
62,-134.3102,121,95.6107
63,-69.2689,75,94.5801
64,-174.1558,83,94.0011
65,-119.1444,62,92.4011
66,-41.6790,77,91.6310
67,0.0760,111,92.5995
68,-413.5350,89,92.4195
69,-124.0792,91,92.3485
70,-197.2217,124,93.9311
71,-100.8036,88,93.6345
72,16.5018,83,93.1028
73,-51.8953,67,91.7977
74,-223.6234,126,93.5078
75,-220.4827,100,93.8324
76,-204.6759,96,93.9408
77,-110.4710,96,94.0437
78,-110.4565,80,93.3416
79,-2.6924,100,93.6745
80,-48.0920,74,92.6907
81,-166.7038,62,91.1562
82,-191.2254,74,90.2984
83,-249.4433,120,91.7835
