UpdateCycle,EpisodeAtUpdate,TotalLoss,ActorLoss,CriticLoss,Entropy
1,23,0.4181,-0.0347,0.9331,1.3770
2,44,0.4689,0.0211,0.9231,1.3709
3,67,0.4659,0.0246,0.9100,1.3783
4,90,0.2758,-0.0961,0.7712,1.3702
5,109,0.2670,-0.0561,0.6730,1.3423
6,129,0.4607,0.0833,0.7814,1.3325
7,145,0.3629,-0.0167,0.7855,1.3161
8,159,0.3680,0.0113,0.7383,1.2450
9,170,0.2636,-0.2754,1.1034,1.2733
10,187,0.4230,0.1570,0.5568,1.2390
11,202,0.2299,-0.0360,0.5568,1.2558
12,217,0.2039,-0.0203,0.4723,1.2030
13,225,0.4125,-0.0081,0.8666,1.2700
14,240,0.1994,-0.0045,0.4325,1.2321
15,255,0.2579,0.0219,0.4960,1.2012
16,273,0.2220,0.0149,0.4374,1.1549
17,288,0.2601,0.0420,0.4598,1.1736
18,297,0.1861,-0.1559,0.7077,1.1805
19,302,0.2911,-0.1161,0.8386,1.2163
20,306,0.5540,0.1021,0.9287,1.2473
21,308,0.2381,-0.1478,0.7971,1.2678
22,310,0.3951,-0.0244,0.8633,1.2147
23,316,0.5852,0.1464,0.9016,1.1996
24,319,0.2824,-0.0653,0.7207,1.2667
25,324,0.1866,-0.1921,0.7811,1.1887
26,328,0.3727,0.1346,0.5007,1.2202
27,331,0.1266,-0.1001,0.4790,1.2814
28,333,0.0576,-0.1074,0.3556,1.2862
29,335,0.2286,0.0100,0.4623,1.2600
30,339,0.4700,0.0876,0.7888,1.1987
31,344,0.4187,0.0272,0.8069,1.1959
32,354,0.2603,0.0025,0.5383,1.1306
33,358,0.3064,-0.1392,0.9135,1.1165
34,362,0.4175,0.0187,0.8195,1.1018
35,365,0.4312,0.0215,0.8434,1.2060
36,367,0.1773,-0.1672,0.7118,1.1450
37,372,0.5253,0.1567,0.7594,1.1068
38,376,0.2263,-0.0038,0.4832,1.1508
39,378,0.2045,-0.0926,0.6177,1.1731
40,381,0.3112,-0.0165,0.6790,1.1856
41,384,0.3406,0.0651,0.5741,1.1555
42,389,0.0476,-0.1137,0.3461,1.1756
43,391,0.3967,0.0005,0.8155,1.1566
44,394,0.2977,-0.1410,0.8993,1.0917
45,398,0.4171,0.1519,0.5520,1.0765
46,400,0.1447,-0.1082,0.5283,1.1213
47,402,0.3671,0.1359,0.4842,1.0900
48,404,0.2694,-0.0840,0.7296,1.1358
49,406,0.2086,0.0312,0.3767,1.0922
50,411,0.5259,0.1015,0.8698,1.0466
51,414,0.1540,-0.0595,0.4488,1.0944
52,416,0.2616,-0.0343,0.6145,1.1392
53,420,0.5548,0.1447,0.8426,1.1133
54,422,0.2211,-0.1186,0.7008,1.0742
55,425,0.4969,0.1029,0.8108,1.1360
56,429,0.3221,0.0852,0.4940,1.0203
57,434,-0.0619,-0.5255,0.9486,1.0755
58,437,0.2275,0.0995,0.2764,1.0145
59,439,0.3130,-0.0220,0.6899,0.9925
60,441,0.1466,-0.3722,1.0550,0.8682
61,447,0.4982,0.2597,0.4965,0.9771
62,451,0.1471,-0.0350,0.3834,0.9534
63,455,0.1473,-0.0921,0.4978,0.9489
64,457,0.6891,0.2115,0.9753,1.0106
65,459,0.4072,-0.0153,0.8635,0.9284
66,462,0.1761,-0.0673,0.5050,0.9122
67,465,0.1073,-0.0425,0.3169,0.8661
68,468,0.7035,0.0600,1.3048,0.8951
69,470,0.1963,-0.2885,0.9860,0.8208
70,473,0.5126,0.2847,0.4740,0.9163
71,475,0.3071,-0.0225,0.6778,0.9235
72,477,0.0779,-0.1245,0.4235,0.9400
73,479,0.1902,0.0212,0.3562,0.9114
74,481,0.2897,0.0212,0.5551,0.9073
75,483,0.3625,0.0314,0.6800,0.8864
76,487,0.6420,0.1535,0.9959,0.9377
77,489,0.1758,-0.1479,0.6651,0.8879
78,491,0.2022,-0.0713,0.5652,0.9124
79,493,0.4662,0.0605,0.8314,0.9948
80,495,0.2278,0.0060,0.4605,0.8414
81,499,0.5314,0.0897,0.9022,0.9401
82,504,0.0995,-0.0713,0.3610,0.9680
83,509,0.3895,0.0890,0.6192,0.9132
84,511,0.1498,-0.1211,0.5599,0.9001
85,513,0.6324,-0.0669,1.4162,0.8727
86,515,0.2629,0.0904,0.3629,0.8850
87,518,0.3579,-0.0024,0.7397,0.9529
88,522,0.2214,-0.2423,0.9448,0.8779
89,525,0.6953,0.2097,0.9896,0.9158
90,529,0.3247,-0.0157,0.6995,0.9373
91,531,0.2997,-0.1207,0.8604,0.9780
92,534,0.2375,0.0177,0.4589,0.9705
93,536,0.0456,-0.1461,0.4026,0.9592
94,539,0.1844,-0.0023,0.3917,0.9194
95,541,0.2704,-0.1390,0.8361,0.8657
96,543,0.3883,0.2020,0.3928,1.0130
97,545,0.0537,-0.0993,0.3262,1.0082
98,548,0.5060,0.1350,0.7615,0.9683
99,550,0.0948,-0.0520,0.3111,0.8767
100,554,1.0584,0.5245,1.0853,0.8796
101,556,-0.1707,-0.4005,0.4793,0.9853
102,559,0.1697,0.0015,0.3549,0.9229
103,561,0.1831,0.0354,0.3155,1.0072
104,565,0.8315,0.1515,1.3795,0.9797
105,567,-0.0598,-0.2322,0.3628,0.9057
106,569,0.3764,0.1367,0.4993,0.9951
107,573,0.4145,0.0418,0.7648,0.9754
108,576,0.4100,0.0908,0.6569,0.9283
109,578,0.0635,-0.0368,0.2206,1.0025
110,580,0.1905,-0.0865,0.5725,0.9194
111,583,0.5469,0.1112,0.8889,0.8774
112,585,0.1207,0.0138,0.2339,1.0075
113,589,0.3712,0.1472,0.4675,0.9755
114,591,0.0287,-0.1696,0.4162,0.9738
115,593,0.0553,0.0079,0.1159,1.0556
116,597,0.7446,0.1638,1.1800,0.9207
117,599,0.0606,-0.1804,0.5032,1.0630
118,601,0.2112,-0.0687,0.5807,1.0475
119,604,0.3881,0.1203,0.5565,1.0448
120,606,0.1390,-0.0270,0.3522,1.0032
