Episode,Reward,Length,SmoothedLengthEMA
1,-65.7987,79,79.0000
2,-267.3631,101,80.1000
3,-143.9428,107,81.4450
4,-72.9539,62,80.4727
5,-353.8544,100,81.4491
6,-118.2787,85,81.6267
7,-260.0082,101,82.5953
8,-119.0801,69,81.9156
9,-228.7214,102,82.9198
10,-125.0779,63,81.9238
11,-288.7989,87,82.1776
12,-54.2053,86,82.3687
13,-233.1931,67,81.6003
14,-166.7810,62,80.6203
15,-254.0984,112,82.1893
16,-116.7422,83,82.2298
17,-261.6371,88,82.5183
18,-319.9883,112,83.9924
19,-233.2087,113,85.4428
20,-88.5744,104,86.3706
21,-311.2647,92,86.6521
22,-87.0839,67,85.6695
23,-274.1098,99,86.3360
24,-301.6193,136,88.8192
25,-472.0551,101,89.4283
26,-483.1350,85,89.2068
27,-398.1002,90,89.2465
28,-268.4783,87,89.1342
29,-148.3502,115,90.4275
30,-314.4860,90,90.4061
31,-361.9869,109,91.3358
32,-420.8611,178,95.6690
33,-108.4726,81,94.9356
34,-204.6784,85,94.4388
35,-328.5778,109,95.1668
36,-498.6544,93,95.0585
37,-87.9927,65,93.5556
38,-260.7996,99,93.8278
39,-242.3372,150,96.6364
40,-90.5588,62,94.9046
41,-235.1402,88,94.5594
42,-352.9487,103,94.9814
43,-279.3156,124,96.4323
44,-194.4014,86,95.9107
45,-95.1860,68,94.5152
46,-135.1930,63,92.9394
47,-115.8312,87,92.6424
48,-133.7437,112,93.6103
49,-156.9036,126,95.2298
50,-100.7183,89,94.9183
51,-67.2050,141,97.2224
52,-202.5807,78,96.2613
53,-64.7320,107,96.7982
54,-122.3231,90,96.4583
55,-80.6741,136,98.4354
56,-108.2055,92,98.1136
57,-96.1780,81,97.2579
58,-104.8810,97,97.2450
59,-105.9741,60,95.3828
60,-138.4525,91,95.1636
61,-83.7652,132,97.0055
62,-150.6563,149,99.6052
63,-58.9517,95,99.3749
64,-147.0605,64,97.6062
65,-138.8135,71,96.2759
66,-131.3377,67,94.8121
67,-61.5933,74,93.7715
68,-222.2938,110,94.5829
69,-292.9395,85,94.1038
70,-230.3520,120,95.3986
71,-125.3508,78,94.5286
72,-212.4692,71,93.3522
73,-95.1277,69,92.1346
74,-463.1337,145,94.7779
75,-181.3493,101,95.0890
76,4.6105,125,96.5845
77,-245.2949,94,96.4553
78,-187.6215,80,95.6325
79,-252.5421,85,95.1009
80,-88.8087,74,94.0459
81,-219.8302,87,93.6936
82,-104.9985,74,92.7089
