Episode,Reward,Length,SmoothedLengthEMA
1,-65.7987,79,79.0000
2,-267.3631,101,80.1000
3,-143.9428,107,81.4450
4,-72.9539,62,80.4727
5,-353.8544,100,81.4491
6,-118.2787,85,81.6267
7,-260.0082,101,82.5953
8,-119.0801,69,81.9156
9,-228.7214,102,82.9198
10,-125.0779,63,81.9238
11,-288.7989,87,82.1776
12,-54.2053,86,82.3687
13,-233.1931,67,81.6003
14,-166.7810,62,80.6203
15,-254.0984,112,82.1893
16,-116.7422,83,82.2298
17,-261.6371,88,82.5183
18,-319.9883,112,83.9924
19,-233.2087,113,85.4428
20,-88.5744,104,86.3706
21,-311.2647,92,86.6521
22,-87.0839,67,85.6695
23,-270.6654,99,86.3360
24,-127.1812,107,87.3692
25,-398.6685,117,88.8508
26,-526.9877,82,88.5082
27,-389.4263,87,88.4328
28,-163.8154,61,87.0612
29,-139.7952,99,87.6581
30,-115.7319,73,86.9252
31,-205.4460,105,87.8289
32,-362.4209,131,89.9875
33,-127.0615,69,88.9381
34,-93.5533,76,88.2912
35,-118.8929,80,87.8767
36,-397.6353,113,89.1328
37,-96.7647,62,87.7762
38,-215.6389,73,87.0374
39,-145.4601,121,88.7355
40,13.6743,63,87.4487
41,-98.6368,80,87.0763
42,-70.3976,92,87.3225
43,-314.9814,103,88.1064
44,-105.4009,90,88.2010
45,-181.0714,63,86.9410
46,-131.3876,73,86.2439
47,-85.0779,83,86.0817
48,-150.4073,106,87.0777
49,-84.2979,83,86.8738
50,-93.5666,89,86.9801
51,-120.6837,99,87.5811
52,-118.5236,76,87.0020
53,-53.3311,106,87.9519
54,-234.1826,82,87.6543
55,-216.0148,125,89.5216
56,-125.2910,78,88.9455
57,-125.9783,84,88.6983
58,-111.5075,103,89.4133
59,-73.4336,67,88.2927
60,-137.1713,89,88.3280
61,-105.9358,132,90.5116
62,-137.1386,124,92.1861
63,-105.1533,80,91.5768
64,-102.0740,75,90.7479
65,-152.8309,65,89.4605
66,-125.8553,73,88.6375
67,-285.5700,78,88.1056
68,-172.3862,95,88.4503
69,-368.8372,84,88.2278
70,-196.1266,106,89.1164
71,-76.4040,67,88.0106
72,-87.0327,74,87.3101
73,-91.0977,71,86.4946
74,-149.1177,154,89.8698
75,-299.3490,96,90.1764
76,-115.5870,91,90.2175
77,-118.0842,94,90.4067
78,-94.0875,78,89.7863
79,-33.1975,113,90.9470
80,-104.1398,66,89.6997
81,-232.9193,75,88.9647
82,-170.6490,76,88.3164
