UpdateCycle,EpisodeAtUpdate,TotalLoss,ActorLoss,CriticLoss,Entropy
1,23,0.3448,-0.1402,0.9976,1.3854
2,46,0.4164,-0.0856,1.0316,1.3852
3,68,0.4261,-0.0504,0.9805,1.3850
4,90,0.4271,-0.0384,0.9586,1.3841
5,110,0.4154,-0.0381,0.9348,1.3830
6,132,0.4081,-0.0245,0.8929,1.3831
7,151,0.4476,-0.0111,0.9450,1.3828
8,172,0.4432,-0.0130,0.9401,1.3823
9,195,0.4314,-0.0266,0.9436,1.3805
10,216,0.4029,-0.0196,0.8726,1.3794
11,237,0.4429,0.0135,0.8863,1.3819
12,258,0.3999,-0.0207,0.8688,1.3769
13,281,0.3739,-0.0299,0.8349,1.3748
14,301,0.3772,-0.0029,0.7875,1.3743
15,322,0.4136,0.0087,0.8373,1.3738
16,343,0.3430,-0.0039,0.7212,1.3681
17,361,0.3646,-0.0017,0.7598,1.3583
18,380,0.2938,-0.0599,0.7345,1.3526
19,399,0.3775,-0.0193,0.8206,1.3477
20,417,0.4102,0.0644,0.7187,1.3539
21,436,0.3152,0.0178,0.6219,1.3545
22,455,0.3418,-0.0083,0.7270,1.3427
23,476,0.3486,-0.0636,0.8512,1.3404
24,492,0.4012,0.0922,0.6447,1.3354
25,512,0.3199,-0.0100,0.6862,1.3227
26,529,0.3401,0.0601,0.5865,1.3208
27,544,0.3033,-0.0201,0.6732,1.3207
28,561,0.3455,-0.0135,0.7442,1.3122
29,579,0.3534,0.0487,0.6356,1.3098
30,595,0.3396,-0.1258,0.9565,1.2895
31,608,0.3781,-0.0663,0.9150,1.3105
32,619,0.4000,-0.2025,1.2317,1.3277
33,634,0.3775,0.0667,0.6475,1.3031
34,643,0.4232,-0.1891,1.2510,1.3255
35,660,0.2869,0.0224,0.5550,1.2972
36,676,0.3877,0.0787,0.6437,1.2905
37,693,0.3413,0.0169,0.6743,1.2767
38,709,0.3144,0.0455,0.5633,1.2762
39,725,0.2257,0.0118,0.4532,1.2718
40,738,0.3287,-0.0155,0.7135,1.2491
41,749,0.4494,0.1374,0.6492,1.2545
42,762,0.2619,0.0116,0.5257,1.2535
43,774,0.2885,0.0290,0.5441,1.2457
44,789,0.1884,-0.0461,0.4936,1.2344
45,796,0.2729,-0.2894,1.1500,1.2717
46,801,0.1478,-0.5116,1.3448,1.2936
47,811,0.4457,-0.0595,1.0356,1.2627
48,822,0.4384,-0.0143,0.9311,1.2826
49,837,0.4168,0.1572,0.5441,1.2411
50,851,0.3762,0.0569,0.6628,1.2095
51,866,0.3138,0.0039,0.6440,1.2087
52,881,0.1853,-0.0333,0.4619,1.2279
53,895,0.3235,0.0199,0.6316,1.2241
54,910,0.2461,0.0226,0.4704,1.1767
55,920,0.3669,0.0837,0.5897,1.1650
56,929,0.1924,-0.0767,0.5616,1.1702
57,940,0.3728,0.0495,0.6701,1.1708
58,950,0.1793,-0.0002,0.3828,1.1912
59,961,0.4256,0.1378,0.5997,1.2016
60,974,0.1587,-0.1098,0.5609,1.1931
61,986,0.2503,0.0323,0.4600,1.2057
62,999,0.2503,0.0595,0.4052,1.1885
63,1006,0.2149,-0.2326,0.9192,1.2111
64,1016,0.3237,0.0933,0.4840,1.1635
65,1018,0.0349,-0.4855,1.0655,1.2290
66,1025,0.4253,0.0598,0.7552,1.2129
67,1035,0.3368,0.0339,0.6292,1.1729
68,1045,0.2841,-0.0515,0.6942,1.1516
69,1051,0.1856,-0.2620,0.9192,1.1944
70,1059,0.3187,0.0433,0.5747,1.1958
71,1065,0.2647,-0.1709,0.8954,1.2120
72,1075,0.3228,0.1010,0.4667,1.1635
73,1081,0.1890,-0.1624,0.7266,1.1922
74,1090,0.3350,0.0919,0.5093,1.1536
75,1099,0.3624,0.1460,0.4561,1.1588
76,1103,0.2728,-0.0799,0.7292,1.1907
77,1107,0.1663,-0.2106,0.7782,1.2214
78,1109,0.2413,-0.0706,0.6490,1.2598
79,1121,0.6685,0.3805,0.5999,1.1877
80,1129,0.3906,0.0605,0.6847,1.2344
81,1140,0.4428,0.1694,0.5710,1.2053
82,1144,0.0155,-0.3840,0.8249,1.2997
83,1150,0.1318,-0.3142,0.9173,1.2590
84,1163,0.3503,0.0712,0.5827,1.2224
85,1179,0.3440,0.1627,0.3862,1.1826
86,1192,0.3848,0.0861,0.6213,1.1924
87,1203,0.0746,-0.1885,0.5503,1.2071
88,1215,0.2137,0.0456,0.3600,1.1892
89,1228,0.2304,0.0466,0.3905,1.1342
90,1237,0.1180,-0.0965,0.4527,1.1853
91,1246,0.1760,-0.0643,0.5041,1.1816
92,1253,0.3099,0.0076,0.6291,1.2242
93,1261,0.2199,-0.0659,0.5957,1.2036
94,1265,0.0882,-0.1226,0.4459,1.2205
95,1269,0.2295,-0.0663,0.6167,1.2505
96,1274,0.3649,0.0622,0.6298,1.2252
97,1278,0.2041,-0.0998,0.6333,1.2773
98,1287,0.4224,0.2317,0.4045,1.1579
99,1294,0.2074,-0.0489,0.5368,1.2142
100,1298,0.1389,-0.1613,0.6255,1.2555
101,1306,0.3842,0.1467,0.4989,1.1921
102,1314,0.4779,0.1184,0.7425,1.1781
103,1318,0.1319,-0.1201,0.5277,1.1810
