Episode,Reward,Length,SmoothedLengthEMA
1,-65.7987,79,79.0000
2,-267.3631,101,80.1000
3,-143.9428,107,81.4450
4,-72.9539,62,80.4727
5,-353.8544,100,81.4491
6,-118.2787,85,81.6267
7,-260.0082,101,82.5953
8,-119.0801,69,81.9156
9,-228.7214,102,82.9198
10,-125.0779,63,81.9238
11,-288.7989,87,82.1776
12,-43.2607,87,82.4187
13,-243.1905,71,81.8478
14,-167.7448,61,80.8054
15,-186.6974,111,82.3151
16,-162.5097,90,82.6994
17,-108.6663,98,83.4644
18,-146.9128,163,87.4412
19,-344.3168,102,88.1691
20,-97.1178,75,87.5107
21,-159.8238,95,87.8851
22,-96.9296,60,86.4909
23,-243.9213,96,86.9663
24,-240.1737,117,88.4680
25,-374.3893,108,89.4446
26,-353.0854,93,89.6224
27,-285.7627,106,90.4413
28,-62.3195,68,89.3192
29,-140.0569,116,90.6532
30,-225.4219,89,90.5706
31,-81.9731,126,92.3421
32,-101.0434,146,95.0249
33,-156.3676,80,94.2737
34,-59.9419,90,94.0600
35,-222.2904,90,93.8570
36,-106.3577,131,95.7142
37,-79.7292,65,94.1785
38,-117.0867,72,93.0695
39,-382.1963,118,94.3161
40,-131.7368,73,93.2503
41,-283.2910,109,94.0377
42,-96.4417,96,94.1359
43,-64.5165,175,98.1791
44,-125.5346,107,98.6201
45,-175.7635,62,96.7891
46,-79.0967,91,96.4996
47,-109.1966,92,96.2747
48,-163.7154,177,100.3109
49,-204.9953,105,100.5454
50,-100.4230,112,101.1181
51,-288.6775,142,103.1622
52,-134.3538,105,103.2541
53,-182.2089,168,106.4914
54,-159.3692,108,106.5668
55,-235.3621,151,108.7885
56,-204.6781,108,108.7491
57,-156.2603,111,108.8616
58,-383.5772,137,110.2685
59,-33.2733,78,108.6551
60,-298.2133,167,111.5723
61,-306.4507,172,114.5937
62,-367.9820,209,119.3140
63,-174.2555,81,117.3983
64,-102.2354,94,116.2284
65,-110.7473,75,114.1670
66,-46.8614,77,112.3087
67,-250.8505,105,111.9432
68,-251.8144,127,112.6961
69,-150.7671,94,111.7613
70,-176.0423,98,111.0732
71,-64.8491,77,109.3695
72,-72.3265,90,108.4011
73,-98.9814,72,106.5810
74,-239.1916,190,110.7520
75,-251.1337,106,110.5144
76,-252.8925,127,111.3386
77,-99.8185,127,112.1217
78,-118.7381,74,110.2156
79,-129.7508,113,110.3548
80,-64.8267,82,108.9371
81,-105.6546,99,108.4402
82,-212.6275,107,108.3682
