Episode,Reward,Length,SmoothedLengthEMA
1,-65.7987,79,79.0000
2,-267.3631,101,80.1000
3,-143.9428,107,81.4450
4,-72.9539,62,80.4727
5,-353.8544,100,81.4491
6,-118.2787,85,81.6267
7,-260.0082,101,82.5953
8,-119.0801,69,81.9156
9,-228.7214,102,82.9198
10,-125.0779,63,81.9238
11,-288.7989,87,82.1776
12,-54.2053,86,82.3687
13,-233.1931,67,81.6003
14,-166.7810,62,80.6203
15,-254.0984,112,82.1893
16,-116.7422,83,82.2298
17,-261.6371,88,82.5183
18,-319.9883,112,83.9924
19,-233.2087,113,85.4428
20,-88.5744,104,86.3706
21,-311.2647,92,86.6521
22,-87.0839,67,85.6695
23,-270.6654,99,86.3360
24,-123.0578,105,87.2692
25,-359.2403,123,89.0558
26,-516.9747,82,88.7030
27,-277.6299,91,88.8178
28,-249.0825,59,87.3269
29,-83.8866,127,89.3106
30,-80.5553,84,89.0451
31,-256.5576,118,90.4928
32,-121.7833,153,93.6182
33,-96.6813,77,92.7873
34,-112.3171,71,91.6979
35,-83.1927,84,91.3130
36,-97.4726,99,91.6973
37,-107.3230,57,89.9625
38,-77.4839,74,89.1644
39,-224.4221,124,90.9061
40,-81.4346,55,89.1108
41,-322.3934,83,88.8053
42,-122.6496,72,87.9650
43,-202.7496,113,89.2168
44,-125.0872,84,88.9559
45,-82.5980,66,87.8081
46,-82.5680,73,87.0677
47,-107.8575,92,87.3143
48,-109.9455,97,87.7986
49,-86.6411,93,88.0587
50,-97.6968,94,88.3558
51,-252.0281,107,89.2880
52,-182.1967,75,88.5736
53,-178.6126,103,89.2949
54,-166.2069,97,89.6802
55,-117.4498,111,90.7461
56,-139.1044,85,90.4588
57,-112.1513,86,90.2359
58,-156.1633,119,91.6741
59,-48.4995,65,90.3404
60,-175.0673,86,90.1234
61,-153.2551,142,92.7172
62,-162.4659,114,93.7813
63,-131.6052,83,93.2423
64,-104.2237,68,91.9802
65,-93.2723,68,90.7812
66,17.2481,85,90.4921
67,-70.0474,88,90.3675
68,-253.1933,86,90.1491
69,-272.0686,91,90.1917
70,-338.6669,94,90.3821
71,-125.8519,80,89.8630
72,-87.3372,76,89.1698
73,-62.2559,72,88.3113
74,-175.4192,104,89.0958
75,-173.7042,118,90.5410
76,-168.0814,83,90.1639
77,-155.0081,122,91.7557
78,-84.7083,64,90.3679
79,-138.8142,92,90.4496
80,4.6043,79,89.8771
81,-78.2997,67,88.7332
82,-166.3350,90,88.7966
83,-335.7637,92,88.9567
