Episode,Reward,Length,SmoothedLengthEMA
1,-65.7987,79,79.0000
2,-267.3631,101,80.1000
3,-143.9428,107,81.4450
4,-72.9539,62,80.4727
5,-353.8544,100,81.4491
6,-118.2787,85,81.6267
7,-260.0082,101,82.5953
8,-119.0801,69,81.9156
9,-228.7214,102,82.9198
10,-125.0779,63,81.9238
11,-288.7989,87,82.1776
12,-54.2053,86,82.3687
13,-233.1931,67,81.6003
14,-166.7810,62,80.6203
15,-254.0984,112,82.1893
16,-116.7422,83,82.2298
17,-261.6371,88,82.5183
18,-319.9883,112,83.9924
19,-233.2087,113,85.4428
20,-88.5744,104,86.3706
21,-311.2647,92,86.6521
22,-87.0839,67,85.6695
23,-274.1098,99,86.3360
24,-127.1812,107,87.3692
25,-398.6685,117,88.8508
26,-526.9877,82,88.5082
27,-389.4263,87,88.4328
28,-184.8315,62,87.1112
29,-71.8231,114,88.4556
30,-177.4293,79,87.9828
31,-352.1092,99,88.5337
32,-57.3425,164,92.3070
33,-139.2928,66,90.9917
34,-118.5495,71,89.9921
35,-54.2166,85,89.7425
36,-300.0135,101,90.3053
37,-118.6167,63,88.9401
38,12.4408,94,89.1931
39,-276.5845,128,91.1334
40,-105.2933,59,89.5267
41,-282.6626,85,89.3004
42,-34.9237,79,88.7854
43,-158.0889,114,90.0461
44,-72.8343,83,89.6938
45,-102.8103,70,88.7091
46,-108.3567,76,88.0737
47,-278.2629,92,88.2700
48,-155.7961,95,88.6065
49,-220.3931,104,89.3762
50,-210.6943,92,89.5074
51,-215.2070,116,90.8320
52,-302.1318,90,90.7904
53,-131.5654,119,92.2009
54,-115.0601,76,91.3908
55,-190.0834,103,91.9713
56,-120.1610,93,92.0227
57,-107.3409,88,91.8216
58,-109.6923,88,91.6305
59,-41.4068,67,90.3990
60,-534.4322,90,90.3790
61,-383.9287,124,92.0601
62,-218.4584,113,93.1071
63,-169.1796,78,92.3517
64,-123.7951,72,91.3341
65,-91.5889,75,90.5174
66,-109.5131,68,89.3916
67,-78.4177,71,88.4720
68,-283.5945,89,88.4984
69,-300.4516,98,88.9735
70,-348.7841,94,89.2248
71,-129.6517,79,88.7135
72,-78.7748,69,87.7279
73,-37.7709,83,87.4915
74,-370.0286,88,87.5169
75,-173.5697,104,88.3411
76,-92.6424,96,88.7240
77,-52.1512,112,89.8878
78,-143.7562,81,89.4434
79,-275.8473,88,89.3712
80,-72.6504,73,88.5527
81,-187.4726,65,87.3750
82,-121.4632,76,86.8063
